protein,drug,pairs,median range,median N_eff,median frac favoured,median carrier freq,median top-decile fold
RT,TAMs,10,13.804472201317548,3.389458391373604,0.23929352922788372,0.08312493487548192,4.26895247033659
RT,zidovudine,10,13.804472201317548,3.389458391373604,0.23929352922788372,0.08312493487548192,4.26895247033659
RT,stavudine,11,13.396619755029676,3.5825122587187366,0.21433781390017714,0.06121704699385225,4.801000521104742
RT,69 insertion complex,11,13.396619755029676,3.5825122587187366,0.21433781390017714,0.06121704699385225,4.801000521104742
PR,saquinavir,11,12.277078998088838,7.848717151955547,0.06742556917688267,0.018563922942206657,7.578947368421052
PR,darunavir,10,12.10533958077431,8.839199485105603,0.059281961471103324,0.02416812609457093,8.732993197278912
PR,tipranavir,17,11.838690304756165,8.536529093783363,0.06339754816112084,0.021891418563922942,7.2727272727272725
IN,bictegravir,8,11.762709474563597,7.488714455441322,0.04549180327868853,0.011475409836065573,9.115384615384617
IN,dolutegravir,8,11.762709474563597,7.488714455441322,0.04549180327868853,0.011475409836065573,9.115384615384617
IN,cabotegravir,11,11.608012986183164,10.60532412367025,0.03278688524590164,0.012295081967213115,9.230769230769232
IN,elvitegravir,11,11.608012986183164,10.60532412367025,0.03278688524590164,0.012295081967213115,9.230769230769232
PR,fosamprenavir,18,11.518365281820298,8.704811430896111,0.06015761821366024,0.0202276707530648,7.425837320574162
PR,lopinavir,18,11.518365281820298,8.704811430896111,0.06015761821366024,0.0202276707530648,7.425837320574162
PR,indinavir,18,11.518365281820298,8.704811430896111,0.06015761821366024,0.0202276707530648,7.425837320574162
IN,raltegravir,13,11.486692333221432,10.60532412367025,0.03278688524590164,0.013934426229508197,9.230769230769232
PR,atazanavir,19,11.198040258884431,8.873093768008857,0.05691768826619965,0.021891418563922942,7.2727272727272725
RT,tenofovir,4,11.076509881019593,2.5624398564819946,0.16007606543711578,0.08307283526101907,5.713573479100502
PR,nelfinavir,17,10.874412250518798,9.161145445594531,0.06339754816112084,0.026444833625218916,7.125506072874494
RT,abacavir,3,6.788409054279325,7.3604084910555265,0.0032822757111597373,0.008075440241742211,7.022296769150599
RT,didanosine,3,6.788409054279325,7.3604084910555265,0.0032822757111597373,0.008075440241742211,7.022296769150599
RT,doravirine,7,6.3897693037986745,7.6615223823274174,0.006408252578930916,0.01469209127852454,6.029625358952468
RT,etravirine,14,5.877613553404807,8.125592062818134,0.003152026675002605,0.009430030217776388,6.142074041106622
RT,rilpivirine,14,5.877613553404807,7.499925462968657,0.003152026675002605,0.010784620193810567,6.204970846881766
RT,efavirenz,21,5.86567032933235,8.757815370182602,0.0010419922892570595,0.006877149109096593,6.8196030129328715
RT,nevirapine,21,5.86567032933235,8.757815370182602,0.0010419922892570595,0.006877149109096593,6.8196030129328715
RT,151 complex,5,4.672923743724821,14.286995882885009,0.019485255809107014,0.016359278941335834,9.461431207132092
